item                                           mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
migrationRateSMi1_Italy_to_OtherEuropean       5.884065 0.100567 1.365791 5.884976 3.152422 8.360269 219610.9 184.4397 5.717676
migrationRateSMi1_Italy_to_Spain               1.224316 0.002467 0.034477 1.227921 1.153413 1.285444 207460.3 195.2421 1.223826
migrationRateSMi1_OtherEuropean_to_France      0.713286 0.00243  0.034443 0.708486 0.654127 0.78457  201651.9 200.8659 0.71247 
migrationRateSMi1_OtherEuropean_to_Germany     0.810758 0.00171  0.024147 0.80759  0.768586 0.860323 203124.7 199.4094 0.810403
migrationRateSMi1_OtherEuropean_to_Hubei-China 0.574746 0.003226 0.046025 0.56771  0.497934 0.671278 199047.5 203.4940 0.572964
migrationRateSMi1_OtherEuropean_to_Italy       0.71921  0.00239  0.033865 0.714509 0.660982 0.78926  201748.7 200.7694 0.718428
migrationRateSMi1_OtherEuropean_to_Spain       0.865609 0.001254 0.017677 0.863364 0.834476 0.901737 203855.1 198.6950 0.86543 
migrationRateSMi1_Spain_to_France              1.452504 0.005379 0.074859 1.459493 1.300177 1.587419 209109.5 193.7022 1.450541
migrationRateSMi1_Spain_to_Germany             2.686876 0.025998 0.357402 2.705671 1.966252 3.34268  214321.6 188.9916 2.662202
migrationRateSMi1_Spain_to_Hubei-China         0.579074 0.003206 0.045724 0.572105 0.502686 0.674933 199140.7 203.3989 0.577327
migrationRateSMi1_Spain_to_Italy               1.485229 0.005825 0.081033 1.492675 1.320629 1.631641 209317.3 193.5099 1.482978
migrationRateSMi1_Spain_to_OtherEuropean       109.0562 4.718414 63.41485 98.20531 11.90469 227.0894 224242.9 180.6299 91.14213
migrationRateSMi2_France_to_Germany            0.668495 0.002719 0.038609 0.662957 0.602745 0.748728 200884.1 201.6336 0.667406
migrationRateSMi2_France_to_Hubei-China        0.580292 0.0032   0.045639 0.573342 0.504025 0.67596  199166.7 203.3722 0.578555
migrationRateSMi2_France_to_Italy              0.617237 0.003014 0.042894 0.610869 0.544961 0.706815 199919.2 202.6068 0.615788
migrationRateSMi2_France_to_OtherEuropean      1.310457 0.003523 0.049146 1.315377 1.209635 1.397996 208127.5 194.6162 1.309523
migrationRateSMi2_France_to_Spain              0.72264  0.002366 0.033527 0.717995 0.664957 0.791969 201804.3 200.7141 0.721876
migrationRateSMi2_Germany_to_France            0.644565 0.002861 0.040676 0.638638 0.57563  0.729285 200446.0 202.0743 0.643314
migrationRateSMi2_Germany_to_Hubei-China       0.580424 0.0032   0.04563  0.573476 0.504171 0.676071 199169.5 203.3694 0.578688
migrationRateSMi2_Germany_to_Italy             0.617766 0.003011 0.042853 0.611408 0.545552 0.707253 199929.7 202.5961 0.616322
migrationRateSMi2_Germany_to_OtherEuropean     1.52298  0.006349 0.088267 1.530945 1.342272 1.681129 209549.4 193.2956 1.520373
migrationRateSMi2_Germany_to_Spain             0.811359 0.001705 0.024079 0.8082   0.769301 0.86078  203133.0 199.4013 0.811005
migrationRateSMi2_Hubei-China_to_France        0.571179 0.003243 0.046269 0.564088 0.494024 0.66826  198970.1 203.5732 0.569368
migrationRateSMi2_Hubei-China_to_Germany       0.571058 0.003243 0.046278 0.563964 0.493891 0.668157 198967.4 203.5759 0.569245
